id,color,reg_city,assembly,cc,body
11885488,Black,Islamabad,Imported,658 cc,Hatchback
11884670,Rose Gold,Islamabad,Imported,660 cc,Hatchback
11884584,Black,Punjab,Imported,660 cc,Hatchback
11884757,Beige,Islamabad,Imported,660 cc,Hatchback
11884776,Navy,Punjab,Imported,660 cc,Hatchback
11884237,Burgundy,Islamabad,Imported,660 cc,N/A
11882498,White,Islamabad,Imported,660 cc,Hatchback
11881377,Black,Punjab,Imported,658 cc,Hatchback
11881142,Burgundy,Islamabad,Imported,660 cc,Hatchback
11881088,Turquoise,Punjab,Imported,660 cc,Hatchback
11881118,White,Islamabad,Local,660 cc,Hatchback
11753852,Red wine,Islamabad,Imported,660 cc,Hatchback
11880312,Purple,Islamabad,Imported,660 cc,N/A
11655532,Pink,Rawalpindi,Local,660 cc,N/A
11879737,White,Punjab,Local,660 cc,Hatchback
11740737,Black,Islamabad,Imported,660 cc,Hatchback
11879639,White,Islamabad,Imported,660 cc,Hatchback
11879398,White,Islamabad,Imported,660 cc,Hatchback
11879075,Grey,Islamabad,Local,660 cc,Hatchback
11878688,Pink,Islamabad,Imported,660 cc,Hatchback
11878680,Silver,Islamabad,Local,660 cc,Hatchback
11877893,Grey,Punjab,Local,660 cc,Hatchback
11877531,White,Islamabad,Imported,660 cc,Hatchback
11877700,White,Islamabad,Local,660 cc,Hatchback
11877304,White,Islamabad,Imported,660 cc,Hatchback
11877235,White,Islamabad,Local,660 cc,Hatchback
11877217,Silver,Islamabad,Imported,660 cc,Hatchback
11843040,Burgundy,Islamabad,Local,660 cc,N/A
11876456,Silver,Punjab,Imported,660 cc,Hatchback
11876102,Black,Islamabad,Imported,660 cc,Hatchback
11875953,White,Islamabad,Imported,660 cc,Hatchback
11875680,White,Punjab,Local,660 cc,Hatchback
11875590,White,Islamabad,Local,660 cc,Hatchback
11727094,White,Karachi,Imported,660 cc,Hatchback
11875397,White,Islamabad,Local,660 cc,N/A
11875383,Silver,Islamabad,Imported,660 cc,Hatchback
11875316,White,Punjab,Imported,660 cc,Hatchback
11871592,Black,Islamabad,Imported,660 cc,N/A
11840295,Burgundy,Islamabad,Imported,660 cc,Hatchback
11874875,Maroon,Islamabad,Imported,660 cc,Hatchback
11874261,White,Punjab,Local,660 cc,Hatchback
11874244,White,Islamabad,Local,660 cc,Hatchback
11873967,Silver,Islamabad,Imported,660 cc,N/A
11870735,Black,Lahore,Imported,660 cc,Hatchback
11872872,White,Islamabad,Imported,660 cc,Hatchback
11872508,White,Islamabad,Imported,660 cc,Hatchback
11872452,White,Islamabad,Imported,660 cc,Hatchback
11872322,Silver,Abbottabad,Local,660 cc,Hatchback
11594628,Solid White,Islamabad,Local,660 cc,Hatchback
11872103,White,Lahore,Imported,660 cc,Hatchback
11819965,White,Lahore,Local,660 cc,Hatchback
11871665,Silver,Islamabad,Imported,660 cc,Hatchback
11871204,Green,Islamabad,Imported,660 cc,N/A
11870367,Attitude Black,Islamabad,Imported,660 cc,Hatchback
11764632,Pearl White,Islamabad,Imported,660 cc,Hatchback
11869206,Beige,Sindh,Imported,660 cc,Hatchback
11868938,Indigo,Islamabad,Imported,660 cc,N/A
11868704,White,Islamabad,Imported,660 cc,Hatchback
11621987,light Blue,Islamabad,Imported,660 cc,Hatchback
11851940,Orange,Islamabad,Imported,660 cc,Hatchback
11868281,Beige,Islamabad,Imported,660 cc,Station Wagon
11868232,Beige,Islamabad,Imported,660 cc,Hatchback
11867581,Silver,Islamabad,Local,660 cc,Hatchback
11867458,White,Islamabad,Local,660 cc,Hatchback
11867331,Blue,Islamabad,Imported,660 cc,N/A
11867029,White,Islamabad,Imported,660 cc,Hatchback
11866939,White,Islamabad,Local,660 cc,Hatchback
11866758,Black,Islamabad,Imported,660 cc,SUV
11866607,White,Rawalpindi,Local,660 cc,Hatchback
11866340,White,Islamabad,Imported,660 cc,Hatchback
11866482,Black,Islamabad,Imported,660 cc,Hatchback
