id,source,model_full,year,price_lacs,url,first_seen,last_seen,high_price_seen
11842197,PakWheels,Suzuki Alto,2021,27.0,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-rawalpindi-11842197,2026-08-10T19:17,2026-08-12T12:42,27.0
1117828926,OLX,Suzuki Alto,2022,27.2,https://www.olx.com.pk/item/-iid-1117828926,2026-08-11T18:02,2026-08-12T12:42,27.2
11840295,PakWheels,Suzuki Alto,2017,27.5,https://www.pakwheels.com/used-cars/suzuki-alto-2017-for-sale-in-islamabad-11840295,2026-08-10T19:17,2026-08-12T12:42,27.5
11840882,PakWheels,Suzuki Alto,2022,27.5,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-rawalpindi-11840882,2026-08-10T19:17,2026-08-12T12:42,27.5
11839888,PakWheels,Suzuki Alto,2022,27.5,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-rawalpindi-11839888,2026-08-10T19:17,2026-08-12T12:42,27.5
1117848206,OLX,Suzuki Alto,2022,27.5,https://www.olx.com.pk/item/-iid-1117848206,2026-08-10T11:09,2026-08-12T12:42,27.5
1117826606,OLX,Suzuki Alto,2020,27.5,https://www.olx.com.pk/item/-iid-1117826606,2026-08-11T18:02,2026-08-12T12:42,27.5
11841705,PakWheels,Daihatsu Mira,2016,27.75,https://www.pakwheels.com/used-cars/daihatsu-mira-2016-for-sale-in-islamabad-11841705,2026-08-10T19:17,2026-08-12T12:42,27.75
11839443,PakWheels,Suzuki Alto,2015,27.95,https://www.pakwheels.com/used-cars/suzuki-alto-2015-for-sale-in-islamabad-11839443,2026-08-10T11:09,2026-08-12T12:42,27.95
11841945,PakWheels,Mitsubishi EK Wagon,2016,28.25,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2016-for-sale-in-rawalpindi-11841945,2026-08-10T19:17,2026-08-12T12:42,28.25
11841542,PakWheels,Suzuki Wagon R,2014,28.5,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2014-for-sale-in-islamabad-11841542,2026-08-10T19:17,2026-08-12T12:42,28.5
11839404,PakWheels,Daihatsu Mira,2017,28.5,https://www.pakwheels.com/used-cars/daihatsu-mira-2017-for-sale-in-islamabad-11839404,2026-08-10T11:09,2026-08-12T12:42,28.5
1117836281,OLX,Suzuki Alto,2024,28.5,https://www.olx.com.pk/item/-iid-1117836281,2026-08-10T11:09,2026-08-12T12:42,28.5
1115053129,OLX,Suzuki Alto,2024,28.85,https://www.olx.com.pk/item/-iid-1115053129,2026-08-10T11:09,2026-08-12T12:42,28.85
11795513,PakWheels,Daihatsu Mira ES,2017,29.2,https://www.pakwheels.com/used-cars/daihatsu-mira-2017-for-sale-in-islamabad-11795513,2026-07-31T17:04,2026-08-12T12:42,29.2
11829216,PakWheels,Daihatsu Move,2018,29.9,https://www.pakwheels.com/used-cars/daihatsu-move-2018-for-sale-in-islamabad-11829216,2026-08-08T15:26,2026-08-12T12:42,29.9
1117843099,OLX,Suzuki Alto,2025,29.95,https://www.olx.com.pk/item/-iid-1117843099,2026-08-10T11:09,2026-08-12T12:42,29.95
1117842958,OLX,Suzuki Alto,2025,29.95,https://www.olx.com.pk/item/-iid-1117842958,2026-08-10T11:09,2026-08-12T12:42,29.95
11839779,PakWheels,Suzuki Alto,2025,30.0,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-islamabad-11839779,2026-08-10T11:09,2026-08-12T12:42,30.0
1117798622,OLX,Suzuki Alto,2012,12.9,https://www.olx.com.pk/item/-iid-1117798622,2026-08-11T18:02,2026-08-12T12:42,12.9
1117803164,OLX,Suzuki Alto,2010,13.5,https://www.olx.com.pk/item/-iid-1117803164,2026-08-11T21:17,2026-08-12T12:42,13.5
1117796523,OLX,Suzuki Alto,2010,14.5,https://www.olx.com.pk/item/-iid-1117796523,2026-08-11T21:17,2026-08-12T12:42,14.5
1115338717,OLX,Daihatsu Hijet,2012,16.5,https://www.olx.com.pk/item/-iid-1115338717,2026-07-30T17:22,2026-08-12T12:42,16.5
11837147,PakWheels,Daihatsu Esse,2010,16.8,https://www.pakwheels.com/used-cars/daihatsu-esse-2010-for-sale-in-islamabad-11837147,2026-08-09T22:34,2026-08-12T12:42,16.8
1116960760,OLX,Suzuki Alto,2012,18.0,https://www.olx.com.pk/item/-iid-1116960760,2026-07-30T17:22,2026-08-12T12:42,18.0
11712179,PakWheels,Daihatsu Tanto,2010,18.5,https://www.pakwheels.com/used-cars/daihatsu-tanto-2010-for-sale-in-rawalpindi-11712179,2026-07-30T17:22,2026-08-12T12:42,18.5
11834790,PakWheels,Daihatsu Esse,2010,18.7,https://www.pakwheels.com/used-cars/daihatsu-esse-2010-for-sale-in-islamabad-11834790,2026-08-09T13:20,2026-08-12T12:42,18.7
11837356,PakWheels,Nissan Moco,2012,19.1,https://www.pakwheels.com/used-cars/nissan-moco-2012-for-sale-in-rawalpindi-11837356,2026-08-09T22:34,2026-08-12T12:42,19.1
1117775097,OLX,Daihatsu Move,2015,19.2,https://www.olx.com.pk/item/-iid-1117775097,2026-08-08T15:26,2026-08-12T12:42,19.2
11836003,PakWheels,Daihatsu Move,2013,19.5,https://www.pakwheels.com/used-cars/daihatsu-move-2013-for-sale-in-islamabad-11836003,2026-08-09T22:34,2026-08-12T12:42,19.5
1117774256,OLX,Suzuki Every,2012,21.0,https://www.olx.com.pk/item/-iid-1117774256,2026-08-08T15:26,2026-08-12T12:42,21.0
11835497,PakWheels,Daihatsu Move,2011,21.5,https://www.pakwheels.com/used-cars/daihatsu-move-2011-for-sale-in-rawalpindi-11835497,2026-08-09T13:20,2026-08-12T12:42,21.5
11838786,PakWheels,Suzuki Alto,2013,22.0,https://www.pakwheels.com/used-cars/suzuki-alto-2013-for-sale-in-islamabad-11838786,2026-08-10T11:09,2026-08-12T12:42,22.0
