id,title,loc,spec,badge,rating,pics,cache,slug,path
11928521,Suzuki Alto 2007 GII,Rawalpindi,"2007 125,000 km Petrol 660 cc Automatic",,,5,2,suzuki-alto-gii-2007-150362192,/used-cars/suzuki-alto-2007-for-sale-in-rawalpindi-11928521
11533374,Suzuki Alto 2008 GII,Islamabad,"2008 144,500 km Petrol 660 cc Automatic",,,20,1,suzuki-alto-gii-2008-144353935,/used-cars/suzuki-alto-2008-for-sale-in-islamabad-11533374
11927538,Daihatsu Esse 2010 L,Rawalpindi,"2010 150,000 km Petrol 660 cc Automatic",,,19,4,daihatsu-esse-l-28-2010-150348611,/used-cars/daihatsu-esse-2010-for-sale-in-rawalpindi-11927538
11927544,Toyota Passo 2010 X,Islamabad,"2010 165,000 km Petrol 1000 cc Automatic",,,14,3,toyota-passo-1-0-x-2010-150348724,/used-cars/toyota-passo-2010-for-sale-in-islamabad-11927544
11414861,Toyota iQ 2009 100G,Islamabad,"2009 71,000 km Petrol 1000 cc Automatic",,,12,3,toyota-iq-100g-2009-142501440,/used-cars/toyota-iq-2009-for-sale-in-islamabad-11414861
11928930,Mitsubishi eK Space 2014,Islamabad,"2014 172,000 km Petrol 660 cc Automatic",,,16,2,mitsubishi-ek-space-2014-150368248,/used-cars/mitsubishi-ek-space-2014-for-sale-in-islamabad-11928930
11928886,Toyota Passo 2011 X L Package,Islamabad,"2011 96,000 km Petrol 1000 cc Automatic",,,13,4,toyota-passo-x-l-package-2011-150367805,/used-cars/toyota-passo-2011-for-sale-in-islamabad-11928886
11928801,Suzuki Baleno 2000 GL,Rawalpindi,"2000 132,000 km CNG 1300 cc Manual",,,8,2,suzuki-baleno-eli-2000-150366745,/used-cars/suzuki-baleno-2000-for-sale-in-rawalpindi-11928801
11928236,Suzuki Wagon R 2021 VXL,Rawalpindi,"2021 110,000 km Petrol 1000 cc Manual",,,20,4,suzuki-wagon-r-vxl-2021-150357911,/used-cars/suzuki-wagon-r-2021-for-sale-in-rawalpindi-11928236
11692057,Toyota Vitz 2000 FL 1.0,Rawalpindi,"2000 140,000 km Petrol 1000 cc Automatic",,,6,2,toyota-vitz-1-0-fl-2000-146736580,/used-cars/toyota-vitz-2000-for-sale-in-rawalpindi-11692057
11806680,Suzuki Baleno 2004 JXR,Rawalpindi,"2004 181,000 km Petrol 1300 cc Manual",,,20,3,suzuki-baleno-jxr-2004-148498265,/used-cars/suzuki-baleno-2004-for-sale-in-rawalpindi-11806680
11928703,Toyota Belta 2007 G 1.3,Rawalpindi,"2007 190,000 km Petrol 1300 cc Automatic",,,14,1,toyota-belta-g-1-3-2-2007-150365135,/used-cars/toyota-belta-2007-for-sale-in-rawalpindi-11928703
11928694,Toyota Passo 2013 Plus Hana C,Islamabad,"2013 100,000 km Petrol 1000 cc Automatic",,,4,1,toyota-passo-plus-hana-2013-150364844,/used-cars/toyota-passo-2013-for-sale-in-islamabad-11928694
11928645,Suzuki Baleno 2001 GLi,Islamabad,"2001 213,250 km Petrol 1300 cc Manual",,,10,4,suzuki-baleno-gli-2-2001-150364078,/used-cars/suzuki-baleno-2001-for-sale-in-islamabad-11928645
11750190,Suzuki Swift 2018 DLX 1.3 Navigation,Rawalpindi,"2018 77,000 km Petrol 1300 cc Manual",,,7,3,suzuki-swift-dlx-1-3-navigation-2018-147630900,/used-cars/suzuki-swift-2018-for-sale-in-rawalpindi-11750190
11928624,Suzuki Wagon R 2018 VXL,Rawalpindi,"2018 102,000 km Petrol 1000 cc Manual",,,18,4,suzuki-wagon-r-vxl-2018-150363746,/used-cars/suzuki-wagon-r-2018-for-sale-in-rawalpindi-11928624
11928566,Suzuki Wagon R 2018 VXL,Islamabad,"2018 150,000 km Petrol 1000 cc Manual",,,7,4,suzuki-wagon-r-vxl-2018-150362848,/used-cars/suzuki-wagon-r-2018-for-sale-in-islamabad-11928566
11928494,Toyota Passo 2009 G 1.0,Rawalpindi,"2009 167,000 km Petrol 1000 cc Automatic",,,20,4,toyota-passo-1-0-g-2009-150361770,/used-cars/toyota-passo-2009-for-sale-in-rawalpindi-11928494
11905837,Suzuki Swift 2011 DLX 1.3,Rawalpindi,"2011 53,000 km Petrol 1300 cc Manual",,,11,2,suzuki-swift-1-3l-dlx-2011-150012520,/used-cars/suzuki-swift-2011-for-sale-in-rawalpindi-11905837
11928191,Suzuki Alto 2008 VXR,Islamabad,"2008 172,000 km Petrol 1000 cc Manual",,,16,4,suzuki-alto-vxr-2-2008-150357599,/used-cars/suzuki-alto-2008-for-sale-in-islamabad-11928191
11730132,Nissan March 2003 Bolero,Rawalpindi,"2003 141,000 km Petrol 1200 cc Automatic",,,4,2,nissan-march-bolero-2003-147319282,/used-cars/nissan-march-2003-for-sale-in-rawalpindi-11730132
11928077,Toyota Vitz 2010 F 1.0,Islamabad,"2010 102,100 km Petrol 1000 cc Automatic",,,2,2,toyota-vitz-1-0-f-2010-150356119,/used-cars/toyota-vitz-2010-for-sale-in-islamabad-11928077
11927792,Suzuki Alto 2024 VXR,Islamabad,"2024 31,000 km Petrol 1000 cc Manual",,,12,1,suzuki-alto-vxr-2-2024-150352214,/used-cars/suzuki-alto-2024-for-sale-in-islamabad-11927792
11927784,Toyota Passo 2004 G 1.0,Islamabad,"2004 150,000 km Petrol 1000 cc Automatic",,,5,1,toyota-passo-racy-1-0-2004-150352149,/used-cars/toyota-passo-2004-for-sale-in-islamabad-11927784
11923307,Suzuki Swift 2018 DLX 1.3 Navigation,Rawalpindi,"2018 73,000 km Petrol 1300 cc Manual",,,20,1,suzuki-swift-dlx-1-3-navigation-2018-150282125,/used-cars/suzuki-swift-2018-for-sale-in-rawalpindi-11923307
11927729,Suzuki Swift 2010 DLX 1.3,Islamabad,"2010 145,779 km Petrol 1300 cc Manual",,,20,4,suzuki-swift-1-3l-dlx-2010-150351137,/used-cars/suzuki-swift-2010-for-sale-in-islamabad-11927729
11642002,Suzuki Baleno 2003 JXR,Islamabad,"2003 150,000 km Petrol 1300 cc Manual",,,13,3,suzuki-baleno-2003-145982291,/used-cars/suzuki-baleno-2003-for-sale-in-islamabad-11642002
