id,source,model_full,variant,year,price_lacs,mileage_km,transmission,city,area,badge,rating,pics,ago,region,url,img,days,body,posted_date,dupkey,dup,first_seen,is_new,prev_high,price_drop,flags,price_pkr
11857379,PakWheels,Daihatsu Mira,X,2010,19.95,123455.0,Automatic,Islamabad,Islamabad,,,6.0,1d,core,https://www.pakwheels.com/used-cars/daihatsu-mira-2010-for-sale-in-islamabad-11857379,https://cache1.pakwheels.com/ad_pictures/1492/daihatsu-mira-x-8-2010-149267731.jpg,1.0,Hatchback,2026-08-14,daihatsu mira|2010|19.95|123455,False,2026-08-14T15:19,False,19.95,,,1995000.0
11858950,PakWheels,Daihatsu Tanto,X,2015,20.0,122148.0,Automatic,Islamabad,Islamabad,,,11.0,1d,core,https://www.pakwheels.com/used-cars/daihatsu-tanto-2015-for-sale-in-islamabad-11858950,https://cache1.pakwheels.com/ad_pictures/1492/daihatsu-tanto-x-37-2015-149294700.jpg,1.0,Tall-boy,2026-08-14,daihatsu tanto|2015|20.0|122148,False,2026-08-14T21:07,False,20.0,,,2000000.0
11859235,PakWheels,Suzuki Wagon R,,2013,21.5,117966.0,Automatic,Islamabad,Islamabad,,,7.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2013-for-sale-in-islamabad-11859235,https://cache3.pakwheels.com/ad_pictures/1492/suzuki-wagon-r-2013-149299224.jpg,1.0,Tall-boy,2026-08-14,suzuki wagon r|2013|21.5|117966,False,2026-08-14T21:07,False,21.5,,,2150000.0
11857675,PakWheels,Mitsubishi EK Wagon,,2014,21.5,165000.0,Automatic,Islamabad,Islamabad,,,16.0,1d,core,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2014-for-sale-in-islamabad-11857675,https://cache3.pakwheels.com/ad_pictures/1492/mitsubishi-ek-wagon-2014-149272042.jpg,1.0,Hatchback,2026-08-14,mitsubishi ek wagon|2014|21.5|165000,False,2026-08-14T15:19,False,21.5,,,2150000.0
11858255,PakWheels,Suzuki Alto,ECO L,2011,21.9,114000.0,Automatic,Islamabad,Islamabad,,,13.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-islamabad-11858255,https://cache1.pakwheels.com/ad_pictures/1492/suzuki-alto-eco-l-2011-149282405.jpg,1.0,Hatchback,2026-08-14,suzuki alto|2011|21.9|114000,False,2026-08-14T18:27,False,22.3,0.4,,2190000.0
11857126,PakWheels,Suzuki Wagon R,FX,2012,21.9,108000.0,Automatic,Rawalpindi,Rawalpindi,,,8.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2012-for-sale-in-rawalpindi-11857126,https://cache3.pakwheels.com/ad_pictures/1492/suzuki-wagon-r-fx-2-2012-149263716.jpg,1.0,Tall-boy,2026-08-14,suzuki wagon r|2012|21.9|108000,False,2026-08-14T12:49,False,21.9,,,2190000.0
11858894,PakWheels,Suzuki Every,PC,2015,24.0,110000.0,Manual,Islamabad,Islamabad,,,11.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-every-2015-for-sale-in-islamabad-11858894,https://cache4.pakwheels.com/ad_pictures/1492/suzuki-every-pc-2015-149293758.jpg,1.0,Van,2026-08-14,suzuki every|2015|24.0|110000,False,2026-08-14T18:27,False,24.0,,,2400000.0
11777379,PakWheels,Mitsubishi Pajero Mini,Limited,2012,24.25,115000.0,Automatic,Islamabad,Islamabad,,,13.0,1d,core,https://www.pakwheels.com/used-cars/mitsubishi-pajero-mini-2012-for-sale-in-islamabad-11777379,https://cache1.pakwheels.com/ad_pictures/1480/mitsubishi-pajero-mini-limited-2012-148049177.jpg,1.0,Tall-boy,2026-08-14,mitsubishi pajero mini|2012|24.25|115000,False,2026-07-30T17:22,False,24.5,0.25,,2425000.0
11859013,PakWheels,Suzuki Alto,VXR,2022,25.5,98000.0,Manual,Islamabad,Islamabad,,,7.0,1d,core,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-islamabad-11859013,https://cache4.pakwheels.com/ad_pictures/1492/suzuki-alto-vxr-2-2022-149295805.jpg,1.0,Hatchback,2026-08-14,suzuki alto|2022|25.5|98000,False,2026-08-14T21:07,False,25.5,,,2550000.0
10977892,PakWheels,Daihatsu Mira,L SA,2015,25.5,130000.0,Automatic,Rawalpindi,Rawalpindi,,,14.0,1d,core,https://www.pakwheels.com/used-cars/daihatsu-mira-2015-for-sale-in-rawalpindi-10977892,https://cache3.pakwheels.com/ad_pictures/1492/daihatsu-mira-l-sa-2-2015-149292241.jpg,1.0,Hatchback,2026-08-14,daihatsu mira|2015|25.5|130000,False,2026-08-14T18:27,False,25.5,,,2550000.0
